Name,ID,Title,ShortText,Version,ServiceCode,ServiceUrl,Deprecated,hasManagedContent,CreatedAt,CreatedBy,ModifiedAt,ModifiedBy,ParentTechnicalName,State,ChangeLog,ExternalDocs,ReleaseInfo,MultiVersion,numberOfAPIs
API_JIT_CALL_PROCESS_SRV,API_JIT_CALL_PROCESS_SRV_0001,Just-In-Time Calls,"Create, read, and update Just-in-Time (JIT) call details in an SAP S/4HANA Cloud system using this inbound synchronous service",1,ODATA,https://sandbox.api.sap.com/s4hanacloud/sap/opu/odata/sap/API_JIT_CALL_PROCESS_SRV,,0,,XXX,,XXX,SAPS4HANACloud,ACTIVE,,,,0,1
Commissions_admin_v3_openapi,Commissions_admin_v3_openapi,Commissions User and Group interface following the System for Cross-domain Identity Management standard,"Create, update and delete Commissions Users and Groups.",3.0.0,REST,,,0,,XXX,,XXX,SAPCommissions,ACTIVE,,,,0,1
OutflowForOperationsAndProductionPushAPIV1,OutflowForOperationsAndProductionPushAPIV1,Replicate Outflows for Operations and Production,Replicates physical goods movement data for products consumed by the plant.,Beta,REST,,,0,,XXX,,XXX,SAPProductFootprintManagement,BETA,"[{""date"":""24 Jan 2022"",""notes"":""Initial Beta Release"",""state"":""Beta"",""version"":""Beta""}]",,,0,1
OP_API_MSTRRCPPHSE_RELSHPTYPE_0001,API_MSTRRCPPHSE_RELSHPTYPE_0001,Phase Relationship Type,Use this synchronous inbound service to read master recipe phase relationship types,1.0.0,ODATA,,,0,,XXX,,XXX,S4HANAOPAPI,ACTIVE,null,"{""2021 FPS00"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.000/EN/3e/f14e1f076343a4ae9af4692d2633fa/frameset.htm"",""description"":""Business Documentation""},""2020 FPS02"":{""description"":""Business Documentation"",""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2020.002/EN/3e/f14e1f076343a4ae9af4692d2633fa/frameset.htm""},""2021 FPS01"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.001/EN/3e/f14e1f076343a4ae9af4692d2633fa/frameset.htm"",""description"":""Business Documentation""},""2021 FPS02"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.002/EN/3e/f14e1f076343a4ae9af4692d2633fa/frameset.htm"",""description"":""Business Documentation""}}","2020 FPS02,2021 FPS00,2021 FPS01,2021 FPS02",1,1
CACONSUMPTIONITEM_0001,CAConsumptionItem                   0001,Convergent Invoicing Consumption Item - Read,Read Consumption Items in Convergent Invoicing using this synchronous inbound service,1,ODATAV4,https://sandbox.api.sap.com/s4hanacloud/sap/opu/odata4/sap/api_caconsumptionitem/srvd_a2x/sap/caconsumptionitem/0001,,0,,XXX,,XXX,SAPS4HANACloud,ACTIVE,,,,0,1
RequisitionRealTimeRevertBudgetExport,RequisitionRealTimeRevertBudgetExport,Export Requisitions to External System to Revert Funds,Send withdrawn or denied requisitions to revert funds on external systems.,1,SOAP,,,0,,XXX,,XXX,SAPAribaWebServices,ACTIVE,,,,0,1
CALM_PJM,CALM_PJM,SAP Cloud ALM Projects,Allows to get or create projects in project management.,1.0.0,REST,https://sandbox.api.sap.com/SAPCALM/calm-projects/v1,,0,,XXX,,XXX,SAPCloudALM,ACTIVE,,,,0,1
APIPortal_Developer_CF,APIPortal_Developer_CF,API Portal - Developer (CF),One or more developers can create applications in API Management.,1.0,ODATA,https://sandbox.api.sap.com/sapapimanagement/apiportal/Management.svc,,0,,XXX,,XXX,APIMgmt,ACTIVE,,,,0,1
SOWEdit,SOWEdit,SOW Edit Upload,Upload SOW Revision Data Into SAP Fieldglass,API-A-V1.0,REST,https://sandbox.api.sap.com/fieldglass/api/vc/connector,,0,,XXX,,XXX,FieldglassAPI,ACTIVE,,,,0,1
storage,storage,Storage Service,"Query, modify and view 3D models stored in a cloud repository.",Beta,REST,https://sandbox.api.sap.com/3dvisualization/storage,,0,,XXX,,XXX,Visual3DAPI,ACTIVE,,,,0,1
API_SALES_ORDER_WITHOUT_CHARGE_SRV,API_SALES_ORDER_WITHOUT_CHARGE_SRV_0001,Sales Order Without Charge (A2X),"Create, read, update, and delete sales orders without charge with this synchronous OData API",1,ODATA,https://sandbox.api.sap.com/s4hanacloud/sap/opu/odata/sap/API_SALES_ORDER_WITHOUT_CHARGE_SRV,,0,,XXX,,XXX,SAPS4HANACloud,ACTIVE,,,,0,1
OP_API_PRODUCTION_ROUTING_0001,API_PRODUCTION_ROUTING_0001,Production Routing,"Use this synchronous inbound service to read, update and create production routing information",1.0.0,ODATA,,,0,,XXX,,XXX,S4HANAOPAPI,ACTIVE,null,"{""2020 FPS02"":{""description"":""Business Documentation"",""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2020.002/EN/2d/d233df3bc947d6b402d246ed887b5a/frameset.htm""},""2021 FPS01"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.001/EN/2d/d233df3bc947d6b402d246ed887b5a/frameset.htm"",""description"":""Business Documentation""},""2021 FPS02"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.002/EN/2d/d233df3bc947d6b402d246ed887b5a/frameset.htm"",""description"":""Business Documentation""}}","2020 FPS02,2021 FPS01,2021 FPS02",1,1
XC_VXACTM_SRV,XC_VXACTM_SRV,Transaction Classifications,,1,ODATA,https://sandbox.api.sap.com/s4b/v1/vxactm,,,,XXX,,XXX,BANKAPIS,,,,,0,1
OP_CO_SDMD_ESR_DISTR_CHANNEL,CO_SDMD_ESR_DISTR_CHANNEL,Distribution Channel - Replicate,Replicate distribution channels using this asynchronous outbound service,1.0.0,SOAP,,,0,,XXX,,XXX,S4HANAOPAPI,ACTIVE,null,"{""2021 FPS00"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.000/EN/ea/51db4c82cc4dc398fd0682d8c9add4/frameset.htm"",""description"":""Business Documentation""},""2020 FPS02"":{""description"":""Business Documentation"",""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2020.002/EN/ea/51db4c82cc4dc398fd0682d8c9add4/frameset.htm""},""2021 FPS01"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.001/EN/ea/51db4c82cc4dc398fd0682d8c9add4/frameset.htm"",""description"":""Business Documentation""},""2021 FPS02"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.002/EN/ea/51db4c82cc4dc398fd0682d8c9add4/frameset.htm"",""description"":""Business Documentation""}}","2020 FPS02,2021 FPS00,2021 FPS01,2021 FPS02",1,1
CST_BusinessPartner,CST_BusinessPartner,Business Partner,Processes business partner information.,1.0.0,REST,,,0,,XXX,,XXX,DataIngestionforIndustryCloudSolutions,ACTIVE,,,,0,1
infusionsoftcrm,infusionsoftcrm,Infusionsoft CRM by Keap,"The Infusionsoft suite for account,contact,opportunity and contact management",api-v2,REST,,,,,XXX,,XXX,crm,,,,,0,1
ComponentsService,ComponentsService,Component Check,"Create, retrieve, and change information for the component check.",1.0.0,ODATAV4,,,0,,XXX,,XXX,SAPBatchReleaseHubForLifeSciences,ACTIVE,,,,0,1
API_BUDGETACCOUNTCORE,API_BUDGETACCOUNTCORE_0001,Budget Account - Read (A2X),Read Budget Account master data synchronously using this inbound service,1,ODATA,https://sandbox.api.sap.com/s4hanacloud/sap/opu/odata/sap/API_BUDGETACCOUNTCORE,,0,,XXX,,XXX,SAPS4HANACloud,ACTIVE,,,,0,1
activeWorkOrderProfileWorkerDownload,activeWorkOrderProfileWorkerDownload,Active Work Order Profile Worker Download,Download Work Order Data From SAP Fieldglass,1.0,REST,https://sandbox.api.sap.com/fieldglass/api/vc/connector,,0,,XXX,,XXX,FieldglassAPI,ACTIVE,,,,0,1
API_JVA_BILLING_SRV,API_JVA_BILLING_SRV_0001,Joint Venture Billing - Read,Retrieve billing files generated in Joint Venture Accounting using the inbound service,1,ODATA,https://sandbox.api.sap.com/s4hanacloud/sap/opu/odata/sap/API_JVA_BILLING_SRV,,0,,XXX,,XXX,SAPS4HANACloud,ACTIVE,,,,0,1
SIA_Task,SIA_Task,Task Service,Maintain Tasks and Task Types.,Beta,ODATAV4,,,0,,XXX,,XXX,SAPIntelligentAgriculture,BETA,,,,0,1
DeleteUser,DeleteUser,Remove Users,Remove one or more internal or external users from your configuration data for SAP Ariba Strategic Sourcing solutions.,1,SOAP,,,0,,XXX,,XXX,SAPAribaWebServices,ACTIVE,,,,0,1
CO_SDBIL_ESR_BD_REF_CONF_OUT,CO_SDBIL_ESR_BD_REF_CONF_OUT,Billing Document - Send Confirmation of Creation with SD Document Reference,Send confirmations for billing documents created with reference to sales and distribution (SD) documents by using this asynchronous outbound service,1,SOAP,,,0,,XXX,,XXX,SAPS4HANACloud,ACTIVE,,,,0,1
fieldserviceedge,fieldserviceedge,Click Field Service Edge,"Innovative, market-leading field service management software solution, offered in a modular fashion",api-v2,REST,,,,,XXX,,XXX,fsa,,,,,0,1
